course_code,course_title,credit_value,dept_description
MBF3CI,Foundations for College Mathematics,1,Community Based Education
MBF3CQ,Foundations for College Mathematics,1,Community Based Education
MCF3MC,Functions and Applications,2,Community Based Education
MCF3MQ,Functions and Applications,1,Community Based Education
MCF3MT,Functions and Applications,2,Community Based Education
MCR3UC,Functions,2,Community Based Education
MCR3UI,Functions,1,Community Based Education
MCR3UQ,Functions,1,Community Based Education
MCR3UT,Functions,2,Community Based Education
MCT4CC,Mathematics for College Technology,2,Community Based Education
MCT4CI,Mathematics for College Technology,1,Community Based Education
MCT4CQ,Mathematics for College Technology,1,Community Based Education
MCT4CT,Mathematics for College Technology,2,Community Based Education
MCV4UC,Calculus and Vectors,2,Community Based Education
MEL3EC,Mathematics for Work and Everyday Life,2,Community Based Education
MEL3EQ,Mathematics for Work and Everyday Life,1,Community Based Education
MEL3ET,Mathematics for Work and Everyday Life,2,Community Based Education
MEL4EC,Mathematics for Work and Everyday Life,2,Community Based Education
MFM2PC,Foundations of Mathematics,2,Community Based Education
MFM2PI,Foundations of Mathematics,1,Community Based Education
MFM2PQ,Foundations of Mathematics,1,Community Based Education
MFM2PT,Foundations of Mathematics,2,Community Based Education
MHF4UC,Advanced Functions,2,Community Based Education
MHF4UT,Advanced Functions,2,Community Based Education
MPM2DC,Principles of Mathematics,2,Community Based Education
MPM2DI,Principles of Mathematics,1,Community Based Education
MPM2DQ,Principles of Mathematics,1,Community Based Education
MPM2DT,Principles of Mathematics,2,Community Based Education
OLC4OQ,Ontario Secondary School Literacy,1,Community Based Education
PAD3OI,Outdoor Activities,1,Community Based Education
PAF2OI,Personal and Fitness Activities,1,Community Based Education
PAF3OC,Personal and Fitness Activities,2,Community Based Education
PAF4OC,Personal and Fitness Activities,2,Community Based Education
PAF4OI,Personal and Fitness Activities,1,Community Based Education
PAF4OQ,Personal and Fitness Activities,1,Community Based Education
PAF4OT,Personal and Fitness Activities,2,Community Based Education
PAI3OC,Individual & Small Group Activities,2,Community Based Education
PAI3OT,Individual & Small Group Activities,2,Community Based Education
PAL3OC,Large Group Activities,2,Community Based Education
PAL3OQ,Large Group Activities,1,Community Based Education
PAL3OT,Large Group Activities,2,Community Based Education
PLF4MC,Recreation and Fitness Leadership,2,Community Based Education
PPL1OC,Healthy Active Living Education,2,Community Based Education
PPL1OI,Healthy Active Living Education,1,Community Based Education
PPL2OC,Healthy Active Living Education,2,Community Based Education
PPL2OI,Healthy Active Living Education,1,Community Based Education
PPL2OT,Healthy Active Living Education,2,Community Based Education
PPL3OC,Healthy Active Living Education,2,Community Based Education
PPL3OI,Healthy Active Living Education,1,Community Based Education
PPL3OQ,Healthy Active Living Education,1,Community Based Education
PPL3OT,Healthy Active Living Education,2,Community Based Education
PPL4OC,Healthy Active Living Education,2,Community Based Education
PPL4OQ,Healthy Active Living Education,1,Community Based Education
PPL4OT,Healthy Active Living Education,2,Community Based Education
PSK4UC,Introductory Kinesiology,2,Community Based Education
PSK4UI,Introductory Kinesiology,1,Community Based Education
SBI3CC,Biology,2,Community Based Education
SBI3CQ,Biology,1,Community Based Education
SBI3UC,Biology,2,Community Based Education
SBI3UI,Biology,1,Community Based Education
SBI4UC,Biology,2,Community Based Education
SCH3UC,Chemistry,2,Community Based Education
SCH3UI,Chemistry,1,Community Based Education
SCH3UQ,Chemistry,1,Community Based Education
SCH4UC,Chemistry,2,Community Based Education
SCH4UI,Chemistry,1,Community Based Education
SNC1DC,Science,2,Community Based Education
SNC1DI,Science,1,Community Based Education
SNC1PC,Science,2,Community Based Education
SNC2DC,Science,2,Community Based Education
SNC2DI,Science,1,Community Based Education
SNC2DT,Science,2,Community Based Education
SNC2PC,Science,2,Community Based Education
SNC2PQ,Science,1,Community Based Education
SNC2PT,Science,2,Community Based Education
SPH3UC,Physics,2,Community Based Education
SPH3UQ,Physics,1,Community Based Education
SPH3UT,Physics,2,Community Based Education
SPH4CC,Physics,2,Community Based Education
SPH4CT,Physics,2,Community Based Education
SPH4UC,Physics,2,Community Based Education
SPH4UT,Physics,2,Community Based Education
TDJ3MC,Technological Design,2,Community Based Education
TEJ3MC,Exploring Computer Technology,2,Community Based Education
TGJ2OC,Communications Technology,2,Community Based Education
TGJ2OI,Communications Technology,1,Community Based Education
TGJ3MC,Communications Technology,2,Community Based Education
TGJ3MT,Communication Technology,2,Community Based Education
TGV3MC,"Communications Technology: TV, Video & Movie Production",2,Community Based Education
TGV3MI,Vocational Art,1,Community Based Education
TGV4MC,"Communications Technology: TV, Video & Movie Production",2,Community Based Education
TTJ3CT,Transportation Technology,2,Community Based Education
YYY4X1,Dual Credit - College-Delivered,0,Community Based Education
YYY4X2,Dual Credit - College-Delivered,0,Community Based Education
YYY4X3,Dual Credit - College-Delivered,0,Community Based Education
YYY4X4,Dual Credit - College-Delivered,0,Community Based Education
ICS2O1,Introduction to Computer Studies,1,Computer Studies
ICS2O2,Intro to Computer Studies,1,Computer Studies
ICS2OG,Intro to Computer Studies,1,Computer Studies
ICS3C1,Introduction to Computer Programming,1,Computer Studies
ICS3U1,Introduction to Computer Science,1,Computer Studies
ICS3U6,Introduction to Computer Science ,1,Computer Studies
ICS4C1,"Computer Programming, Grade 12, Col",1,Computer Studies
ICS4U1,Computer Science ,1,Computer Studies
ICS4UE,Computer Science,1,Computer Studies
IDC3OE,Interdisciplinary Studies,1,Computer Studies
ADA1O1,Drama,1,Drama
ADA2O1,Drama,1,Drama
ADA3M1,Drama,1,Drama
ADA4M1,Drama,1,Drama
ADB2O1,Drama - Musical Theatre,1,Drama
ADB3M1,Drama - Musical Theatre,1,Drama
ADB4M1,Drama - Musical Theatre,1,Drama
ADD301,Drama- Production,1,Drama
ADD4M1,Drama- Production,1,Drama
AEA301,Exploring And Creating in the Arts,1,Drama
AEA401,Exploring and Creating in the Arts,1,Drama
ELS2O1,Literacy Skills: Reading and Writing,1,English
EMS3O1,Media Studies,1,English
ENG1D1,English,1,English
ENG1D2,English,1,English
ENG1DG,English,1,English
ENG1P1,English,1,English
ENG1P7,English,1,English
ENG2D+,English,1,English
ENG2D1,English,1,English
ENG2D2,English,1,English
ENG2DG,English,1,English
ENG2P1,English,1,English
ENG3C1,English,1,English
ENG3E1,English Workplace,1,English
ENG3U1,English,1,English
ENG3UE,English,1,English
ENG4C1,English,1,English
ENG4E1,English Workplace,1,English
ENG4U1,English,1,English
ENG4UE,English,1,English
EPS3O1,Presentation and Speaking Skills,1,English
ETS4U1,Studies in Literature,1,English
EWC4U1,The Writer's Craft,1,English
NBE3C1,English: Understanding Contemporary,1,English
NBE3U1,English: Understanding Contemporary,1,English
OLC4O1,Ontario Secondary School Literacy Course,1,English
ESLAO1,"English as a Second Language, Level 1",1,English as a Second Language 
ESLBO1,"English as a Second Language, Level 2",1,English as a Second Language 
ESLCO1,"English as a Second Language, Level 3",1,English as a Second Language 
ESLDO1,"English as a Second Language, Level 4",1,English as a Second Language 
ESLEO1,"English as a Second Language, Level 5",1,English as a Second Language 
HFA4C1,Nutrition and Health,1,Family Studies
HFA4CL,Nutrition and Health-ESL,1,Family Studies
HFA4U1,Nutrition and Health,1,Family Studies
HFC3M1,Food and Culture,1,Family Studies
HFN2O1,Food and Nutrition,1,Family Studies
HFN2OL,Food and Nutrition,1,Family Studies
HFN2OY,Food and Nutrition,0,Family Studies
HHG4M1,Issues in Human Growth and Development,1,Family Studies
HIF1O1,"Individual, Family and Social Living",1,Family Studies
HIF1OL,"Individual, Family and Social Living",1,Family Studies
HIF1OY,"Individual, Family and Social Living",0,Family Studies
HPC3O1,Parenting,1,Family Studies
HPW3C1,Living and Working with Children,1,Family Studies
HPW3CY,Living and Working with Children,0,Family Studies
HSG3M1,Gender Studies,1,Family Studies
IDC3O1,Interdisciplinary Studies,1,Family Studies
IDC4UE,Interdisciplinary Studies,1,Family Studies
CGC1D+,Issues in Canadian Geography,1,Geography
CGC1D1,Issues in Canadian Geography,1,Geography
CGC1D2,Issues in Canadian Geography,1,Geography
CGC1DG,Issues in Canadian Geography,1,Geography
CGC1DL,Issues in Canadian Geography,1,Geography
CGC1P+,Issues in Canadian Geography,1,Geography
CGC1P1,Geography of Canada,1,Geography
CGC1P4,Geography of Canada,1,Geography
CGC1PY,Geography of Canada,0,Geography
CGF3M1,"Physical Geography: Patterns, Proce",1,Geography
CGG3O1,Travel and Tourism:A Geographic Perspective,1,Geography
CGW4U1,Canadian and World Issues:  A Geogr,1,Geography
CGW4UE,World Issues:  A Geographic Perspective,1,Geography
GLC2O1,Career Studies,0.5,Guidance/Career
GLC2OL,Career Studies,0.5,Guidance/Career
GPP3O1,Leadership and Peer Support,1,Guidance/Career
CHA3U=,American History,1,History
CHC2D1,Canadian History Since World War I,1,History
CHC2D2,Canadian History Since World War I,1,History
CHC2DG,Canadian History Since World War I,1,History
CHC2DL,Canadian History Since World War I,1,History
CHC2P1,Canadian History Since World War I,1,History
CHT3O1,20th Century History Through Film - World History Since 1900: Global and Regional Interactions,1,History
CHV2O1,Civics and Citizenship,0.5,History
CHV2OL,Civics and Citizenship,0.5,History
CHW3M1,World History to the End of the 15th Century,1,History
CHY4U1,World History: The West and the Wor,1,History
CIA4U1,Analysing Current Economic Issues,1,History
CIA4UE,Analysing Current Economic Issues,1,History
CIE3M1,The Individual and the Economy,1,History
CPW4U1,Canadian and World Politics,1,History
HSB4U1,Challenge and Change in Society,1,History
HSP3U1,"Introduction to Anthropology, Psychology & Sociology",1,History
HZT4U1,Philosophy: Questions and Theories,1,History
NDA3M1,"Indigenous People in Canada: Past, Present & Future",1,History
MAP4C1,Foundations for College Mathematics,1,Mathematics
MBF3C1,Foundations for College Mathematics,1,Mathematics
MCF3M1,Functions and Applications,1,Mathematics
MCR3U+,Functions,1,Mathematics
MCR3U1,Functions,1,Mathematics
MCR3U6,Functions,1,Mathematics
MCT4C=,Mathematics for College Technology,1,Mathematics
MCT4C1,Mathematics for College Technology,1,Mathematics
MCV4U1,Calculus and Vectors,1,Mathematics
MCV4UE,Calculus and Vectors,1,Mathematics
MDM4U1,Mathematics of Data Management,1,Mathematics
MDM4UE,Mathematics of Data Management,1,Mathematics
MEL3E1,Mathematics for Work and Everyday Life,1,Mathematics
MEL4E1,Mathematics for Work and Everyday Life,1,Mathematics
MFM2P1,Foundations of Mathematics,1,Mathematics
MHF4U1,Advanced Functions,1,Mathematics
MHF4U6,Advanced Functions,1,Mathematics
MHF4UE,Advanced Functions,1,Mathematics
MPM2D=,Principles of Mathematics,1,Mathematics
MPM2D1,Principles of Mathematics,1,Mathematics
MPM2D2,Principles of Mathematics,1,Mathematics
MPM2DG,Principles of Mathematics,1,Mathematics
MPM2DL,Principles of Mathematics,1,Mathematics
MTH1W1,Mathematics,1,Mathematics
MTH1W2,Mathematics,1,Mathematics
MTH1W7,Mathematics,1,Mathematics
MTH1WG,Mathematics,1,Mathematics
FSF1D1,Core French,1,Moderns
FSF1D2,Core French,1,Moderns
FSF1D4,Core French,1,Moderns
FSF1DG,Core French,1,Moderns
FSF1O1,Core French,1,Moderns
FSF1OL,Core French,1,Moderns
FSF1P1,Core French,1,Moderns
FSF2D1,Core French,1,Moderns
FSF2D2,Core French,1,Moderns
FSF2DG,Core French,1,Moderns
FSF2P1,Core French,1,Moderns
FSF3O1,Core French,1,Moderns
FSF3U1,Core French,1,Moderns
FSF4U1,Core French,1,Moderns
FSF4UE,Core French,1,Moderns
LWSBD1,Spanish,1,Moderns
AMI1O1,Instrumental Music-Band,1,Music
AMI1O4,Instrumental Music-Band,1,Music
AMI2O1,Instrumental Music-Band,1,Music
AMI3M1,Instrumental Music-Band,1,Music
AMI4M1,Instrumental Music-Band,1,Music
AMR1O1,Repertoire,1,Music
AMR2O1,Repertoire,1,Music
AMR3M1,Repertoire,1,Music
AMR4M1,Repertoire,1,Music
AMV1O1,Music - Vocal/Choral,1,Music
AMV1OY,Music - Vocal/Choral,0,Music
AMV2O1,Music - Vocal/Choral,1,Music
AMV3M1,Music - Vocal/Choral,1,Music
AMV3MY,Music - Vocal/Choral,0,Music
AMV4M1,Music - Vocal/Choral,1,Music
PAD3O1,Outdoor Activities,1,Physical & Health Education
PAF2O8,Healthy Living and Personal and Fit,1,Physical & Health Education
PAF2O9,Personal and Fitness Activities-Male,1,Physical & Health Education
PAF3O1,Healthy Living and Personal and Fit,1,Physical & Health Education
PAF3O8,Personal and Fitness Activities-Female,1,Physical & Health Education
PAF3O9,Personal and Fitness Activities-Male,1,Physical & Health Education
PAF4O1,Healthy Living and Personal and Fit,1,Physical & Health Education
PAF4O8,Personal & Fitness Activities-Female,1,Physical & Health Education
PAF4O9,Personal & Fitness Activities-Male,1,Physical & Health Education
PAI1O1,Individual & Small Group Activities,1,Physical & Health Education
PAI2O1,Individual & Small Group Activities,1,Physical & Health Education
PAI3O1,Healthy Living and Individual and S,1,Physical & Health Education
PLF4M1,Recreation and Fitness Leadership,1,Physical & Health Education
PPL1O1,Healthy Active Living Education,1,Physical & Health Education
PPL1O8,Healthy Active Living-Female,1,Physical & Health Education
PPL1O9,Healthy Active Living-Male,1,Physical & Health Education
PPL2O8,Healthy Active Living Education-Female,1,Physical & Health Education
PPL2O9,Healthy Active Living Education-Male,1,Physical & Health Education
PPL3O1,Healthy Active Living Education,1,Physical & Health Education
PPL3O8,Healthy Active Living Education-Female,1,Physical & Health Education
PPL3O9,Healthy Active Living Education-Male,1,Physical & Health Education
PPL4O1,Healthy Active Living Education,1,Physical & Health Education
PPL4O8,Healthy Active Living Education,1,Physical & Health Education
PPL4O9,Healthy Active Living Education,1,Physical & Health Education
PPZ3C8,Health for Life-Female,1,Physical & Health Education
PPZ3C9,Health for Life-Male,1,Physical & Health Education
PSK4U1,Introductory Kinesiology,1,Physical & Health Education
SBI3C1,Biology,1,Science
SBI3U1,Biology,1,Science
SBI3U6,Biology,1,Science
SBI4U1,Biology,1,Science
SBI4UE,Biology,1,Science
SCH3U1,Chemistry,1,Science
SCH3U6,Chemistry,1,Science
SCH4C1,Chemistry,1,Science
SCH4U1,Chemistry,1,Science
SCH4UE,Chemistry,1,Science
SNC1D1,Science,1,Science
SNC1D2,Science,1,Science
SNC1D7,Science,1,Science
SNC1DG,Science,1,Science
SNC1DL,Science,1,Science
SNC1P1,Science,1,Science
SNC1P7,Science,1,Science
SNC2D1,Science,1,Science
SNC2D2,Science,1,Science
SNC2DG,Science,1,Science
SNC2DL,Science,1,Science
SNC2P1,Science,1,Science
SPH3U1,Physics,1,Science
SPH3U6,Physics,1,Science
SPH4C1,Physics,1,Science
SPH4U1,Physics,1,Science
SPH4UE,Physics,1,Science
ADA1OY,Drama,0,Special Education
AMI1OY,Instrumental Music - Band,0,Special Education
AWC3OY,Visual Arts- Ceramics,0,Special Education
CHV2OY,Civics and Citizenship,0,Special Education
ENG1DY,English,0,Special Education
ESLBOY,"English as a Second Language, Level",0,Special Education
GLC2OY,Career Studies,0,Special Education
GLE1O1,Learning Strategies 1: Skills for Success in Secondary School,1,Special Education
GLE1OY,Learning Strategies 1: Skills for Success in Secondary School,0,Special Education
GLE2O1,Learning Strategies 1: Skills for Success in Secondary School,1,Special Education
GLE2OY,Learning Strategies 1: Skills for Success in Secondary School,0,Special Education
GLE3O1,Advanced Learning Strategies: Skills for Success After Secondary School,1,Special Education
GLE4O1,Advanced Learning Strategies: Skills for Success After Secondary School,1,Special Education
GLN4O1,Navigating the Workplace,1,Special Education
GLS1O1,Learning Strategies 1: Skills for Success in Secondary School,1,Special Education
GLS4O1,Advanced Learning Strategies: Skills for Success after Secondary School,1,Special Education
GPP3OY,Leadership and Peer Support,0,Special Education
KALANR,Creative Arts for Enjoyment and Exp,0,Special Education
KALBNR,Creative Arts for Enjoyment and Exp,0,Special Education
KALCNR,Creative Arts for Enjoyment and Exp,0,Special Education
KALDND,Creative Arts for Enjoyment and Exp,0,Special Education
KALDNR,Creative Arts for Enjoyment and Exp,0,Special Education
KALENR,Creative Arts for Enjoyment and Exp,0,Special Education
KALFNR,Creative Arts for Enjoyment and Exp,0,Special Education
KALGNR,Creative Arts for Enjoyment and Exp,0,Special Education
KCCAND,Life Skills,0,Special Education
KCCBND,Life Skills,0,Special Education
KCCCND,Life Skills,0,Special Education
KCCCNR,Life Skills,0,Special Education
KCCDND,Life Skills,0,Special Education
KCCEND,Life Skills,0,Special Education
KCCFND,Transit Training and Community Expl,0,Special Education
KCCGND,Transit Training and Community Expl,0,Special Education
KCWAND,Exploring Our World,0,Special Education
KCWANR,Exploring Our World,0,Special Education
KCWBND,Exploring Our World,0,Special Education
KCWBNR,Exploring Our World,0,Special Education
KCWCND,Exploring Our World,0,Special Education
KCWCNR,Exploring Our World,0,Special Education
KCWDND,Exploring Our World,0,Special Education
KCWDNR,Exploring Our World,0,Special Education
KCWEND,Exploring Our World,0,Special Education
KCWENR,Exploring Our World,0,Special Education
KENAND,Language and Communication Developm,0,Special Education
KENANR,Language and Communication Developm,0,Special Education
KENBND,Language and Communication Developm,0,Special Education
KENBNR,Language and Communication Developm,0,Special Education
KENCND,Language and Communication Developm,0,Special Education
KENCNR,Language and Communication Developm,0,Special Education
KENDND,Language and Communication Developm,0,Special Education
KENDNR,Language and Communication Developm,0,Special Education
KENEND,Language and Communication Developm,0,Special Education
KENENR,Language and Communication Developm,0,Special Education
KENFND,Language and Communication Developm,0,Special Education
KENFNR,Language and Communication Developm,0,Special Education
KENGND,Language and Communication Developm,0,Special Education
KENGNR,Language and Communication Developm,0,Special Education
KGLAND,Personal Life Skills,0,Special Education
KGLANR,Personal Life Skills,0,Special Education
KGLBND,Personal Life Skills,0,Special Education
KGLBNR,Personal Life Skills,0,Special Education
KGLCND,Personal Life Skills,0,Special Education
KGLCNR,Personal Life Skills,0,Special Education
KGLDND,Personal Life Skills,0,Special Education
KGLDNR,Personal Life Skills,0,Special Education
KGLEND,Personal Life Skills,0,Special Education
KGLENR,Personal Life Skills,0,Special Education
KGLFND,Personal Life Skills,0,Special Education
KGLFNR,Personal Life Skills,0,Special Education
KGLGND,Personal Life Skills,0,Special Education
KGLGNR,Personal Life Skills,0,Special Education
KGWANR,Exploring the World of Work,0,Special Education
KGWBNR,Exploring the World of Work,0,Special Education
KGWCNR,Exploring the World of Work,0,Special Education
KGWDNR,Exploring the World of Work,0,Special Education
KGWENR,Exploring the World of Work,0,Special Education
KMMAND,Numeracy and Numbers,0,Special Education
KMMANR,Numeracy and Numbers,0,Special Education
KMMBND,Numeracy and Numbers,0,Special Education
KMMBNR,Numeracy and Numbers,0,Special Education
KMMCND,Numeracy and Numbers,0,Special Education
KMMCNR,Numeracy and Numbers,0,Special Education
KMMDND,Numeracy and Numbers,0,Special Education
KMMDNR,Numeracy and Numbers,0,Special Education
KMMEND,Numeracy and Numbers,0,Special Education
KMMENR,Numeracy and Numbers,0,Special Education
KMMFND,Numeracy and Numbers,0,Special Education
KMMFNR,Numeracy and Numbers,0,Special Education
KMMGND,Numeracy and Numbers,0,Special Education
KMMGNR,Numeracy and Numbers,0,Special Education
KPFAND,Personal Health and Fitness,0,Special Education
KPFANR,Personal Health and Fitness,0,Special Education
KPFBND,Personal Health and Fitness,0,Special Education
KPFBNR,Personal Health and Fitness,0,Special Education
KPFCND,Personal Health and Fitness,0,Special Education
KPFCNR,Personal Health and Fitness,0,Special Education
KPFDND,Personal Health and Fitness,0,Special Education
KPFDNR,Personal Health and Fitness,0,Special Education
KPFEND,Personal Health and Fitness,0,Special Education
KPFENR,Personal Health and Fitness,0,Special Education
KPFFND,Personal Health and Fitness,0,Special Education
KPFFNR,Personal Health and Fitness,0,Special Education
KPFGND,Personal Health and Fitness,0,Special Education
KPHANR,Choice Making for Healthy Living,0,Special Education
KPHBNR,Choice Making for Healthy Living,0,Special Education
KPHCNR,Choice Making for Healthy Living,0,Special Education
KPHENR,Choice Making for Healthy Living,0,Special Education
KPHFNR,Choice Making for Healthy Living,0,Special Education
PPL1OY,Healthy Active Living Education,0,Special Education
PPL3OY,Healthy Active Living Education,0,Special Education
PPL4OY,Healthy Active Living Education,0,Special Education
TDJ3M1,Technological Design,1,Technological Studies
TDJ4M1,Technological Design,1,Technological Studies
TEJ2O1,Computer Technology,1,Technological Studies
TEJ3M1,Computer Engineering Technology,1,Technological Studies
TEJ4M1,Computer Engineering Technology,1,Technological Studies
TGJ1O7,Communication Technology,1,Technological Studies
TGJ2O1,Communications Technology,1,Technological Studies
TGV3M1,"Communications Technology: TV, Video & Movie Production",1,Technological Studies
TGV4M1,"Communications Technology: TV, Video & Movie Production",1,Technological Studies
TIJ1O1,Exploring Technologies,1,Technological Studies
AEA4O1,Exploring and Creating in the Arts,1,Visual Arts
AVI1O1,Visual Arts,1,Visual Arts
AVI1O7,Visual Arts,1,Visual Arts
AVI2O1,Visual Arts,1,Visual Arts
AVI3M1,Visual Arts,1,Visual Arts
AVI4M1,Visual Arts,1,Visual Arts
AWC2O1,Visual Arts- Ceramics,1,Visual Arts
AWC2OY,Visual Arts- Ceramics,0,Visual Arts
AWC3O1,Visual Arts- Ceramics,1,Visual Arts
AWC3O4,Visual Arts- Ceramics,1,Visual Arts
AWC4M1,Visual Arts- Ceramics,1,Visual Arts
AWD3M1,Visual Arts - Visual Design,1,Visual Arts
AWD4M1,Visual Arts - Visual Design,1,Visual Arts
AWJ2O1,Visual Arts- Stage Design,1,Visual Arts
AWL3M1,Visual Arts - Drawing,1,Visual Arts
AWQ3M1,Visual Arts - Photography,1,Visual Arts
AWQ3O1,Visual Arts - Photography,1,Visual Arts
AWQ4M1,Visual Arts - Photography,1,Visual Arts
AWR4M1,Visual Arts - Film/Video,1,Visual Arts
AWS4M1,Visual Arts - Digital Media,1,Visual Arts
BMI3CQ,"Marketing:  Goods, Services, Events",1,
BMI3CT,"Marketing:  Goods, Services, Events",2,
BTA3OB,Information and Communication Techn,2,
CIVCAL,Civics Careers ESL,0,
CIVCAR,Civics and Careers Reg,0,
DUALCR,DUALCREDIT,0,
GR10ST,Grade 10 STEAM,0,
GR9STE,Grade 9 STEAM,0,
MU1112,Vocal Music 10-12,0,
MUS910,Vocal Music 9/10,0,
MUSTHE,Musical Theatre,0,
OLC4OC,Ontario Secondary School Literacy,2,
PAD3OC,Outdoor Activities,2,
SCH4CQ,Chemistry,1,
SHAL.1,Semester 1 Study Hall,0,
SHAL.2,Semester 2 Study Hall,0,
ZLU3A.,LUNCH Gr 9 Sem1 P3,0,
ZLU3B.,LUNCH Gr 9 Sem 2 P3,0,
ZLU4A.,LUNCH Gr 10 Sem 1 P4,0,
ZLU4B.,LUNCH Gr 10 Sem 2 P4,0,
ZLUS1.,LUNCH Sem 1 Gr 11 & 12,0,
ZLUS2.,LUNCH Sem 2 Gr 11 & 12,0,
ZREMOT,Remote Holding Code,0,
